Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Timothy Springer,2.2,United States,biotech,1444,73,"Chestnut Hill, Massachusetts",United States,Married,,"Ph.D, Harvard University; Bachelor of Science, University of California, Berkeley",TRUE
Peter Spuhler,2.2,Switzerland,train cars,1444,61,"Weiningen, Switzerland",Switzerland,Married,2,,TRUE
Tang Yiu,2.2,Hong Kong,fashion retail,1444,87,"Hong Kong, Hong Kong",Hong Kong,Married,2,,TRUE
Tran Dinh Long,2.2,Vietnam,steel,1444,60,"Hanoi, Vietnam",Vietnam,Married,,,TRUE
Anna Katharina Viessmann,2.2,Germany,heating and cooling equipment,1444,,,Germany,,,,FALSE
David Walentas,2.2,United States,real estate,1444,82,"New York, New York",United States,Widowed,1,"Bachelor of Arts/Science, University of Virginia",TRUE
Wu Lanlan & family,2.2,China,packaging,1444,47,"Shenzhen, China",China,Married,2,"Master of Business Administration, Tongji University",TRUE
Wu Yiling,2.2,China,pharmaceuticals,1444,71,"Shijiazhuang, China",China,Married,2,"Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine",TRUE
Xiang Wenbo,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,1,"Master of Science, Dalian University of Technology",TRUE
Xie Liangzhi & family,2.2,China,biotech,1444,55,"Beijing, China",China,Married,,"Ph.D, Massachusetts Institute of Technology",TRUE
Xu Yuejuan,2.2,China,Petro Fibre,1444,59,"Hangzhou, China",China,Married,,,TRUE
Shintaro Yamada,2.2,Japan,mobile apps,1444,43,"Tokyo, Japan",Japan,,,,TRUE
Yang Jian,2.2,China,real estate,1444,49,"Wenzhou, China",China,Married,,,TRUE
Gavril Yushvaev,2.2,Russia,"precious metals, real estate",1444,63,"Moscow, Russia",Russia,Married,7,,TRUE
Zhang Jingzhang & family,2.2,China,precision machinery,1444,85,"Ningbo, China",China,,,,TRUE
Michael Ashcroft,2.1,United Kingdom,security,1517,75,"Turks and Caicos Islands, Turks and Caicos Islands",United Kingdom,,,,TRUE
George Bishop,2.1,United States,oil & gas,1517,83,"The Woodlands, Texas",United States,Married,,,TRUE
Julio Bozano,2.1,Brazil,banking,1517,85,"Rio de Janeiro, Brazil",Brazil,Married,1,,TRUE
Herb Chambers,2.1,United States,car dealerships,1517,79,"Boston, Massachusetts",United States,Single,,,TRUE
Andrew & Peggy Cherng,2.1,United States,restaurants,1517,,"Las Vegas, Nevada",United States,Married,,"Master of Arts, University of Missouri; Ph.D, University of Missouri",TRUE
Jacques D'Amours,2.1,Canada,retail,1517,64,"Montreal, Canada",Canada,Married,2,,TRUE
Ray Davis,2.1,United States,pipelines,1517,79,"Dallas, Texas",United States,Married,3,"Master of Business Administration, LeTourneau University's School of Business",TRUE
Diao Zhizhong,2.1,China,software,1517,57,"Beijing, China",China,,,,TRUE
Michael Federmann & family,2.1,Israel,"defense, hotels",1517,77,"Tel Aviv, Israel",Israel,Married,3,,TRUE
William Fisher,2.1,United States,Gap,1517,64,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford University",FALSE
Bernard Fraisse,2.1,France,pharmaceuticals,1517,64,"Paris, France",France,,,,TRUE
Fabricio Garcia,2.1,Brazil,retail,1517,43,"Franca, Brazil",Brazil,Married,,"Bachelor of Business Administration, Universidade de Sao Paulo",FALSE
Flavia Bittar Garcia Faleiros,2.1,Brazil,retail,1517,40,"Sao Paulo, Brazil",Brazil,Married,3,,FALSE
Gordon Getty,2.1,United States,Getty Oil,1517,87,"San Francisco, California",United States,Widowed,7,"Bachelor of Arts/Science, San Francisco Conservatory of Music",FALSE
Philippe Ginestet & family,2.1,France,retail stores,1517,67,"Pujols, France",France,,,,TRUE
Gong Yingying,2.1,China,health IT,1517,36,"Beijing, China",China,Married,,"Bachelor of Arts/Economics, London School of Economics & Political Science",TRUE
Lutz Mario Helmig,2.1,Germany,hospitals,1517,74,"Grebenhain, Germany",Germany,Married,2,,TRUE
Ilkka Herlin,2.1,Finland,"elevators, escalators",1517,62,"Helsinki, Finland",Finland,Married,4,,FALSE
Arthur Xiaobo Hong,2.1,China,e-commerce,1517,49,"Guangzhou, China",China,,,,TRUE
Hong Feng,2.1,China,smartphones,1517,44,"Beijing, China",China,,,"Master of Science, Purdue University; Bachelor of Science in Engineering, Shanghai Jiaotong University",TRUE
Huang Shih Tsai,2.1,Hong Kong,real estate,1517,69,"Shenzhen, China",Hong Kong,Married,2,,TRUE
Jiang Yehua & family,2.1,China,real estate,1517,58,"Chongqing, China",China,,,,TRUE
Keeree Kanjanapas,2.1,Thailand,transportation,1517,70,"Bangkok, Thailand",Thailand,Married,2,,TRUE
Alexander Karp,2.1,United States,software firm,1517,53,"Palo Alto, California",United States,Single,,"Bachelor of Arts/Science, Haverford College; Doctor of Jurisprudence, Stanford University",TRUE
Bruce Karsh,2.1,United States,private equity,1517,65,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Virginia",TRUE
Mustafa Kucuk,2.1,Turkey,fashion retail,1517,57,"Istanbul, Turkey",Turkey,Married,3,,TRUE
Dominika Kulczyk,2.1,Poland,diversified,1517,43,"Warsaw, Poland",Poland,Divorced,2,"Master, University of Poznan",FALSE
Philippe Laffont,2.1,United States,hedge fund,1517,53,"New York, New York",United States,Married,,"Master of Science, Massachusetts Institute of Technology",TRUE
Henry Laufer,2.1,United States,hedge funds,1517,75,"Lake Worth, Florida",United States,Married,,"Bachelor of Arts/Science, City College of New York; Doctorate, Princeton University",TRUE
Frank Laukien,2.1,United States,scientific equipment,1517,61,"Boston, Massachusetts",United States,Married,,"Doctorate, Harvard University; Bachelor of Arts/Science, Massachusetts Institute of Technology",FALSE
Mark Leonard & family,2.1,Canada,software,1517,65,"Toronto, Canada",Canada,,,"Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business; Bachelor of Arts/Science, University of Guelph",TRUE
Li Wanqiang,2.1,China,smartphones,1517,43,"Beijing, China",China,,,,TRUE
Li Weiwei,2.1,China,online games,1517,44,"Shanghai, China",China,,,,TRUE
Lin Chen-hai,2.1,Taiwan,real estate,1517,74,"Taipei, Taiwan",Taiwan,Married,2,,TRUE
Lin Yinsun,2.1,China,agribusiness,1517,57,"Shanghai, China",China,,,"EMBA, China Europe International Business School",TRUE
Liu Zhongtian & family,2.1,China,aluminum products,1517,57,"Liaoyang, China",China,Married,,"Diploma, Liaoning Radio and TV University",TRUE
Daniel Lubetzky,2.1,United States,snack bars,1517,52,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Trinity University of San Antonio",TRUE
Prayudh Mahagitsiri,2.1,Thailand,"coffee, shipping",1517,75,"Bangkok, Thailand",Thailand,Married,3,,FALSE
Igor Makarov,2.1,Russia,investments,1517,59,"Miami, Florida",Russia,Married,2,"Bachelor of Arts/Science, Turkmen State University",TRUE
Kishore Mariwala,2.1,India,consumer goods,1517,86,"Mumbai, India",India,Married,2,"Bachelor of Science in Engineering, Bombay University; Master of Science in Engineering, Massachusetts Institute of Technology",FALSE
Howard Marks,2.1,United States,private equity,1517,75,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",TRUE
Katarina Martinson,2.1,Sweden,investments,1517,40,"Stockholm, Sweden",Sweden,Married,,,FALSE
Vincent McMahon,2.1,United States,entertainment,1517,75,"Greenwich, Connecticut",United States,Married,2,"Bachelor of Arts/Science, East Carolina University",TRUE
David Murdock,2.1,United States,"Dole, real estate",1517,98,"Ventura, California",United States,Widowed,3,"Drop Out, High School",TRUE
Vikas Oberoi,2.1,India,real estate,1517,50,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University",FALSE
Erik Paulsson & family,2.1,Sweden,"construction, real estate",1517,79,"Båstad, Sweden",Sweden,Married,,,TRUE
Roger Penske,2.1,United States,cars,1517,84,"Birmingham, Michigan",United States,Married,5,"Drop Out, Lehigh University",TRUE
Florentino Perez,2.1,Spain,construction,1517,74,"Madrid, Spain",Spain,Widowed,3,,TRUE
Phil Ruffin,2.1,United States,"casinos, real estate",1517,86,"Las Vegas, Nevada",United States,Married,5,"Drop Out, Wichita State University",TRUE
Richard Sands,2.1,United States,liquor,1517,70,"Delray Beach, Florida",United States,,,"Doctorate, University of North Carolina; Bachelor of Arts/Science, University of Vermont",FALSE
Robert Sands,2.1,United States,liquor,1517,62,"Delray Beach, Florida",United States,Married,,"Law Degree, Pace University; Bachelor of Arts/Science, Skidmore College",FALSE
Dieter Schnabel,2.1,Germany,chemicals,1517,75,"Hamburg, Germany",Germany,Married,3,,FALSE
Christiane Schoeller,2.1,Germany,publishing,1517,,,Germany,,,,FALSE
Jeffrey Talpins,2.1,United States,hedge fund,1517,46,"Larchmont, New York",United States,Married,,"Bachelor of Arts/Science, Yale University",TRUE
Timur Turlov,2.1,Russia,stock brokerage,1517,33,"Almaty, Kazakhstan",Russia,Married,6,"Bachelor of Science, Moscow State Technical University",TRUE
Sandro Veronesi & family,2.1,Italy,fashion,1517,61,"Milan, Italy",Italy,Married,,"Bachelor of Arts/Science, University of Verona",TRUE
Wang Chou-hsiong,2.1,Taiwan,footwear,1517,80,"Yunlin, Taiwan",Taiwan,Married,2,"Master of Arts/Science, National Central University; Bachelor of Business Administration, National Taiwan University",TRUE
Wang Minwen,2.1,China,semiconductor,1517,57,"Beijing, China",China,,,,TRUE
Weng Xianding,2.1,China,medical devices,1517,59,"Shenzhen, China",China,,,,TRUE
Michael Xie,2.1,United States,cybersecurity,1517,52,"Los Altos Hills, California",United States,Married,,"Master of Science, Tsinghua University; Master of Science, University of Manitoba",TRUE
Yuan Fugen & family,2.1,China,metal processing,1517,70,"Suzhou, China",China,,,,TRUE
Zhao Fenggang,2.1,China,batteries,1517,55,"Ningde, China",China,,,,TRUE
Zhou Zongwen & family,2.1,China,jewelry,1517,64,"Shenzhen, China",China,Married,,,TRUE
S. Daniel Abraham,2,United States,Slim-Fast,1580,96,"Palm Beach, Florida",United States,Married,6,"Diploma, High School",TRUE
Isak Andic & family,2,Spain,fashion retail,1580,67,"Barcelona, Spain",Spain,Divorced,3,,TRUE
Roberto Angelini Rossi,2,Chile,"forestry, mining",1580,72,"Santiago, Chile",Chile,Married,4,"Bachelor of Arts/Science, Pontificia Universidad de Chile",FALSE
Masaaki Arai,2,Japan,home sales,1580,55,"Tokyo, Japan",Japan,,,,TRUE
George Argyros & family,2,United States,"real estate, investments",1580,84,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, Chapman University",TRUE
Pavel Baudis,2,Czechia,software,1580,60,"Prague, Czechia",Czechia,Married,2,,TRUE
Anne Beaufour,2,France,pharmaceuticals,1580,57,United Kingdom,France,Married,,,FALSE
Henri Beaufour,2,France,pharmaceuticals,1580,55,"London, United Kingdom",France,Married,,,FALSE
Brett Blundy,2,Australia,"retail, agribusiness",1580,61,"Paradise Island, Bahamas",Australia,Married,2,,TRUE
J. Hyatt Brown,2,United States,insurance,1580,83,"Ormond Beach, Florida",United States,Married,,"Bachelor of Arts/Science, University of Florida",FALSE
Dai Wenjun,2,China,food,1580,52,"Changsha, China",China,,,,TRUE
Sol Daurella,2,Spain,Coca-Cola bottler,1580,55,"Madrid, Spain",Spain,Married,,,FALSE
John de Mol,2,Netherlands,TV programs,1580,66,"Blaricum, Netherlands",Netherlands,Single,1,,TRUE
Dou Zhenggang,2,China,"energy, chemicals",1580,67,"Hangzhou, China",China,,,,TRUE
Glenn Dubin,2,United States,hedge funds,1580,64,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, SUNY Stony Brook",TRUE
John Elkann,2,Italy,"FIAT, investments",1580,45,"Turin, Italy",Italy,,,"Bachelor of Engineering, Politecnico di Torino",FALSE
Ibrahim Erdemoglu,2,Turkey,carpet,1580,58,"Istanbul, Turkey",Turkey,Married,3,,TRUE
Andy Fang,2,United States,food delivery app,1580,28,"MONTE VISTA, California",United States,,,"Bachelor of Arts/Science, Stanford University",TRUE
Fang Hongbo,2,China,home appliances,1580,54,"Shunde, China",China,,,,TRUE
Kenneth Feld & family,2,United States,live entertainment,1580,72,"Sarasota, Florida",United States,Separated,3,"Bachelor of Arts/Science, Boston University",FALSE
Walter Frey,2,Switzerland,car dealerships,1580,77,"Küsnacht, Switzerland",Switzerland,,,"Bachelor of Business Administration, London School of Economics; Bachelor of Business Administration, University of Zurich",FALSE
Yasuhiro Fukushima,2,Japan,video games,1580,73,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Nihon University",TRUE
Dennis Gillings,2,United Kingdom,drug testing,1580,77,"Durham, North Carolina",United Kingdom,,,,TRUE
Sam Goi,2,Singapore,frozen foods,1580,74,"Singapore, Singapore",Singapore,Married,3,,TRUE
Bahaa Hariri,2,Lebanon,"real estate, investments",1580,55,"Geneva, Switzerland",Lebanon,Married,,"Bachelor of Arts/Science, Boston University",FALSE
Ilona Herlin,2,Finland,"elevators, escalators",1580,56,"Helsinki, Finland",Finland,Married,,,FALSE
Jeffery Hildebrand,2,United States,oil,1580,62,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin",TRUE
J. Tomilson Hill,2,United States,investments,1580,72,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University",TRUE
Orion Hindawi,2,United States,software,1580,41,"Seattle, Washington",United States,Married,2,"Drop Out, University of California, Berkeley",TRUE
Reid Hoffman,2,United States,LinkedIn,1580,53,"Palo Alto, California",United States,Married,,"Master of Science, Oxford University; Bachelor of Arts/Science, Stanford University",TRUE
Hou Juncheng,2,China,cosmetics,1580,56,"Hangzhou, China",China,,,,TRUE
W. Herbert Hunt,2,United States,oil,1580,92,"Dallas, Texas",United States,Married,5,,FALSE
George Joseph,2,United States,insurance,1580,99,"Los Angeles, California",United States,Married,5,"Bachelor of Arts/Science, Harvard University",TRUE
Ke Yunfeng & family,2,China,retailing,1580,54,"Guangzhou, China",China,,,,TRUE
Sergei Kolesnikov,2,Russia,building materials,1580,49,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute of Physics and Technology",TRUE
Thomas Lee,2,United States,private equity,1580,77,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Harvard University",TRUE
Peter Leibinger,2,Germany,machine tools,1580,54,"Schwieberdingen, Germany",Germany,Married,4,,FALSE
Regine Leibinger,2,Germany,machine tools,1580,58,"Berlin, Germany",Germany,Married,2,,FALSE
Nicola Leibinger-Kammueller,2,Germany,manufacturing,1580,61,"Berlin, Germany",Germany,Married,4,,FALSE
Solomon Lew,2,Australia,retail,1580,76,"Melbourne, Australia",Australia,Married,3,,TRUE
Li Yong,2,China,education,1580,44,"Shanghai, China",China,,,,TRUE
Liu Yachao,2,China,education,1580,40,"Beijing, China",China,,,,TRUE
Jeffrey Lorberbaum,2,United States,flooring,1580,66,"Chattanooga, Tennessee",United States,Married,,"Bachelor of Arts/Science, University of Denver",FALSE
Jed McCaleb,2,United States,cryptocurrency,1580,46,"Berkeley, California",United States,,,,TRUE
Craig McCaw,2,United States,telecom,1580,71,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Stanford University",FALSE
Miao Yongjun,2,China,clinical diagnostics,1580,53,"Zhengzhou, China",China,,,,TRUE
Robert Miller,2,Canada,electronics components,1580,75,"Montreal, Canada",Canada,Divorced,2,"Bachelor of Arts/Science, Rider University",TRUE
Charles Munger,2,United States,Berkshire Hathaway,1580,97,"Los Angeles, California",United States,Widowed,8,"Doctor of Jurisprudence, Harvard University; Drop Out, University of Michigan",TRUE
David Nahmad,2,Monaco,art collection,1580,74,"New York, New York",Monaco,Married,3,,TRUE
Jonathan Nelson,2,United States,private equity,1580,64,"Providence, Rhode Island",United States,"Widowed, Remarried",3,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Harvard University",TRUE
Pierre Karl Péladeau,2,Canada,media,1580,59,"Montreal, Canada",Canada,In Relationship,3,,FALSE
Kevin Plank,2,United States,Under Armour,1580,48,"Lutherville-Timonium, Maryland",United States,Married,2,"Master of Business Administration, Robert H. Smith School of Business; Bachelor of Arts/Science, University of Maryland",TRUE
Alberto Prada,2,Italy,luxury goods,1580,67,"Milan, Italy",Italy,,,,FALSE
Marina Prada,2,Italy,luxury goods,1580,75,"Milan, Italy",Italy,,,,FALSE
Mahendra Prasad,2,India,pharmaceuticals,1580,81,"Delhi, India",India,Married,,,TRUE
Jennifer Pritzker,2,United States,"hotels, investments",1580,70,"Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Loyola University Illinois",FALSE
Linda Pritzker,2,United States,"hotels, investments",1580,67,"Missoula, Montana",United States,Divorced,3,,FALSE
"Joe Rogers, Jr.",2,United States,Waffle House,1580,,"Atlanta, Georgia",United States,Married,,,FALSE
Igor Rybakov,2,Russia,building materials,1580,48,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute of Physics and Technology",TRUE
Sathien Setthasit,2,Thailand,energy drinks,1580,67,"Bangkok, Thailand",Thailand,Married,3,,TRUE
Mikhail Shelkov,2,Russia,titanium,1580,52,"Moscow, Russia",Russia,,,"Master of Science, Moscow Institute of Physics and Technology",TRUE
